Date,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BABA,NVDA,DIS,NFLX
2019-01-04,36.149662017822266,99.16351318359375,1575.3900146484375,1070.7099609375,137.9499969482422,63.53799819946289,139.75,135.43670654296875,108.28660583496094,297.57000732421875
2019-01-07,36.0692024230957,99.28997039794922,1629.510009765625,1068.3900146484375,138.0500030517578,66.99199676513672,143.10000610351562,142.6068115234375,109.22513580322266,315.3399963378906
2019-01-08,36.75679397583008,100.0098876953125,1656.5799560546875,1076.280029296875,142.52999877929688,67.06999969482422,146.7899932861328,139.05657958984375,110.07475280761719,320.2699890136719
2019-01-09,37.380985260009766,101.43999481201172,1659.4200439453125,1074.6600341796875,144.22999572753906,67.70600128173828,151.9199981689453,141.79136657714844,111.30966186523438,319.9599914550781
2019-01-10,37.500465393066406,100.78819274902344,1656.219970703125,1070.3299560546875,144.1999969482422,68.99400329589844,151.69000244140625,144.42672729492188,111.43809509277344,324.6600036621094
2019-01-11,37.13228988647461,100.0098876953125,1640.56005859375,1057.18994140625,143.8000030517578,69.4520034790039,151.32000732421875,148.00677490234375,111.28990936279297,337.5899963378906
2019-01-14,36.57392120361328,99.2802505493164,1617.2099609375,1044.68994140625,145.38999938964844,66.87999725341797,149.27000427246094,149.6078643798828,111.06268310546875,332.94000244140625
2019-01-15,37.322471618652344,102.15991973876953,1674.56005859375,1077.1500244140625,148.9499969482422,68.88600158691406,150.8800048828125,149.04103088378906,110.41065216064453,354.6400146484375
2019-01-16,37.77842330932617,102.51985931396484,1683.780029296875,1080.969970703125,147.5399932861328,69.20999908447266,154.83999633789062,148.01675415039062,109.57091522216797,351.3900146484375
2019-01-17,38.00273895263672,103.23978424072266,1693.219970703125,1089.9000244140625,148.3000030517578,69.46199798583984,155.97000122070312,150.88082885742188,109.66970825195312,353.19000244140625
2019-01-18,38.236812591552734,104.78663635253906,1696.199951171875,1098.260009765625,150.0399932861328,60.45199966430664,157.02000427246094,156.06198120117188,109.69934844970703,339.1000061035156
2019-01-22,37.37855529785156,102.81172180175781,1632.1700439453125,1070.52001953125,147.57000732421875,59.784000396728516,152.14999389648438,147.94712829589844,109.26465606689453,325.1600036621094
2019-01-23,37.52972412109375,103.81377410888672,1640.02001953125,1075.5699462890625,144.3000030517578,57.518001556396484,152.02999877929688,148.46421813964844,109.77838134765625,321.989990234375
2019-01-24,37.23225402832031,103.31759643554688,1654.9300537109375,1073.9000244140625,145.8300018310547,58.301998138427734,155.86000061035156,156.96693420410156,109.21526336669922,326.6700134277344
